date,facet,party,value,lower,upper
2020-04-03,2,lib,0.078170627,0.06917377,0.087109412
2020-04-03,2,green,0.036995439,0.031643735,0.043197636
2020-04-03,2,ukip,0.008502254,0.00643538,0.011036795
2020-04-04,1,con,0.506971298,0.480917633,0.534951349
2020-04-04,1,lab,0.307672351,0.285310558,0.329182332
2020-04-04,2,lib,0.077778543,0.06888634,0.086750793
2020-04-04,2,green,0.036904882,0.031607869,0.043110117
2020-04-04,2,ukip,0.008453326,0.006395638,0.010956111
2020-04-06,1,con,0.506755568,0.481036771,0.534507957
2020-04-06,1,lab,0.308308093,0.286075006,0.329467769
2020-04-06,2,lib,0.077419812,0.068571908,0.086287921
2020-04-06,2,green,0.036825951,0.031562166,0.043024888
2020-04-06,2,ukip,0.008422457,0.006369,0.010924364
2020-04-07,1,con,0.506383226,0.480871825,0.534132728
2020-04-07,1,lab,0.309088314,0.286986417,0.329850639
2020-04-07,2,lib,0.077094107,0.068320802,0.085838264
2020-04-07,2,green,0.036761101,0.031532335,0.042903844
2020-04-07,2,ukip,0.008393723,0.006357957,0.01088726
2020-04-09,1,con,0.505859303,0.48044352,0.533775183
2020-04-09,1,lab,0.309923227,0.28795531,0.331073843
2020-04-09,2,lib,0.07680147,0.068083759,0.0854548
2020-04-09,2,green,0.036701994,0.031502935,0.042857519
2020-04-09,2,ukip,0.008386998,0.006356689,0.010885132
2020-04-10,1,con,0.505252434,0.479785016,0.533539821
2020-04-10,1,lab,0.31094309,0.288979006,0.332168323
2020-04-10,2,lib,0.076481957,0.067860934,0.085144381
2020-04-10,2,green,0.036658906,0.031466126,0.042805028
2020-04-10,2,ukip,0.008368588,0.006355238,0.010886392
2020-04-12,1,con,0.504531007,0.479074447,0.532827405
2020-04-12,1,lab,0.3119668,0.289851419,0.333113716
2020-04-12,2,lib,0.076156906,0.067646591,0.084830448
2020-04-12,2,green,0.036609512,0.031463512,0.04273421
2020-04-12,2,ukip,0.008376611,0.006373848,0.010868845
2020-04-14,1,con,0.503570393,0.478190661,0.531712513
2020-04-14,1,lab,0.313129531,0.290985541,0.333989532
2020-04-14,2,lib,0.075885707,0.067438404,0.084532636
2020-04-14,2,green,0.036557641,0.031467444,0.042685668
